#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	2.194	999	999	999
999	999	999	999	999	2.212	999	999	999
999	999	999	999	999	2.216	999	999	999
999	999	999	999	999	2.23	999	999	999
999	999	999	999	999	2.234	999	999	999
999	999	999	999	999	2.235	999	999	999
999	999	999	999	999	2.255	999	999	999
999	999	999	999	999	2.258	999	999	999
999	999	999	999	999	2.259	999	999	999
999	999	999	999	999	2.272	999	999	999
999	999	999	999	999	2.284	999	999	999
999	999	999	999	999	2.288	999	999	999
999	999	999	999	999	2.294	999	999	999
999	999	999	999	999	2.307	999	999	999
999	999	999	999	999	2.309	999	999	999
999	999	999	999	999	2.316	999	999	999
999	999	999	999	999	2.332	999	999	999
999	999	999	999	999	2.333	999	999	999
999	999	999	999	999	2.345	999	999	999
999	999	999	999	999	2.357	999	999	999
999	999	999	999	999	2.373	999	999	999
999	999	999	999	999	2.38	999	999	999
999	999	999	999	999	2.416	999	999	999
999	999	999	999	999	2.424	999	999	999
999	999	999	999	999	2.427	999	999	999
999	999	999	999	999	2.431	999	999	999
999	999	999	999	999	2.432	999	999	999
999	999	999	999	999	2.435	999	999	999
999	999	999	999	999	2.439	999	999	999
999	999	999	999	999	2.462	999	999	999
999	999	999	999	999	2.462	999	999	999
999	999	999	999	999	2.466	999	999	999
999	999	999	999	999	2.47	999	999	999
999	999	999	999	999	2.474	999	999	999
999	999	999	999	999	2.474	999	999	999
999	999	999	999	999	2.511	999	999	999
999	999	999	999	999	2.515	999	999	999
999	999	999	999	999	2.523	999	999	999
999	999	999	999	999	2.536	999	999	999
999	999	999	999	999	2.541	999	999	999
999	999	999	999	999	2.542	999	999	999
999	999	999	999	999	2.551	999	999	999
999	999	999	999	999	2.572	999	999	999
999	999	999	999	999	2.577	999	999	999
999	999	999	999	999	2.608	999	999	999
999	999	999	999	999	2.609	999	999	999
999	999	999	999	999	2.61	999	999	999
999	999	999	999	999	2.613	999	999	999
999	999	999	999	999	2.613	999	999	999
999	999	999	999	999	2.63	999	999	999
999	999	999	999	999	2.631	999	999	999
999	999	999	999	999	2.633	999	999	999
999	999	999	999	999	2.635	999	999	999
999	999	999	999	999	2.647	999	999	999
999	999	999	999	999	2.651	999	999	999
999	999	999	999	999	2.652	999	999	999
999	999	999	999	999	2.66	999	999	999
999	999	999	999	999	2.672	999	999	999
999	999	999	999	999	2.682	999	999	999
999	999	999	999	999	2.696	999	999	999
999	999	999	999	999	2.7	999	999	999
999	999	999	999	999	2.709	999	999	999
