wavelength flux fluxe
3.679683771040601641e+03 4.331913739283717035e+00 1.430206695545953366e+00
3.680760401209198335e+03 -1.054342034020327029e-01 1.190964003528413251e+00
3.681836786613629556e+03 1.368597046521347060e+00 1.124469529853818983e+00
3.682913500400594785e+03 1.337132374351847508e+00 1.201308971022368111e+00
3.683990060600209290e+03 2.833636169286514850e+00 1.288601834030252524e+00
3.685066772550926999e+03 2.230301168261462408e+00 1.205924868746437451e+00
3.686143288745704467e+03 1.408045469394625604e+00 1.192223165462312551e+00
3.687220117929701246e+03 3.270447912178013006e+00 1.310360384020152535e+00
3.688296817386358271e+03 1.170749814183087018e-01 1.086544584465528374e+00
3.689373647680854901e+03 2.576809165211780606e+00 1.220240605297749248e+00
3.690450361168449945e+03 3.311173058791375468e+00 1.271546311075351765e+00
3.691527078397378773e+03 3.965906648370845833e+00 1.336637274046479362e+00
3.692603980326874989e+03 3.279886338739264495e+00 1.235651861389611028e+00
3.693680832300406109e+03 -3.695774317061342185e-01 1.102940951775040146e+00
3.694757877471618485e+03 1.718420031492333910e+00 1.214295710137021977e+00
3.695834797012761555e+03 2.624007755935457542e+00 1.282620312215811520e+00
3.696911809273999552e+03 3.254855828937459616e+00 1.299351233263060568e+00
3.697988840709375836e+03 -6.913732072638375525e-01 1.188804143391354540e+00
3.699065780881488536e+03 7.238986272643767039e-01 1.321480640801427686e+00
3.700142904882738094e+03 4.201328752500037567e+00 1.538588668148177740e+00
3.701220041522664360e+03 3.763815881265072605e+00 1.494364417585791527e+00
3.702297179821670397e+03 3.006893342822969828e+00 1.468399076367189249e+00
3.703375644903173907e+03 5.545104251827704944e-01 1.410117212090486127e+00
3.704451513910079484e+03 3.204164439456380187e+00 1.507325595183712785e+00
3.705528769545356226e+03 4.525526655880362625e+00 1.548811249531921730e+00
3.706605994936713159e+03 1.794114247882796054e+00 1.358832294485641690e+00
3.707683266742281376e+03 -4.845227105471833218e-01 1.307445808397516673e+00
3.708760548151728472e+03 2.363373613113275429e+00 1.427710530722946514e+00
3.709837996368335098e+03 7.423458556296567146e-01 1.313634650567546025e+00
3.710915306270836481e+03 1.697868510779050100e+00 1.360792247191827231e+00
3.711992689275841713e+03 3.556642740654529788e+00 1.442044423562042432e+00
3.713070152590127691e+03 4.685573958404186001e+00 1.532768877204064850e+00
3.714147620911003287e+03 4.009723731759523346e+00 1.459529201883638994e+00
3.715225107013756315e+03 -5.100142304441223073e-01 1.265090220816736277e+00
3.716301442676744500e+03 2.224113693923335244e+00 1.381891002969977578e+00
3.717380162967305296e+03 3.874287269226005304e+00 1.418259569387700036e+00
3.718457780823620396e+03 2.069707260379139324e+00 1.384963619884398422e+00
3.719535346600091998e+03 2.741179392159667216e+00 1.416681520927990157e+00
3.720613060580577439e+03 2.470527068673841864e+00 1.361221070705321390e+00
3.721690650786985771e+03 2.682730407991358312e+00 1.398071873787195774e+00
3.722768478484076695e+03 8.556640255776810644e-01 1.327490849106162107e+00
3.723846142656947450e+03 2.418725951953486053e+00 1.441663966465412505e+00
3.724923928689736840e+03 4.584849112843821572e+00 1.510098232545596497e+00
3.726001678989608081e+03 4.308477976579980329e+00 1.477529357019151668e+00
3.727079584846487251e+03 3.165554416503356894e+00 1.441158272185878886e+00
3.728157102348486205e+03 4.483060293412040487e+00 1.493576394785956829e+00
3.729236346613161459e+03 1.267477032093347278e+00 1.461907645574053394e+00
3.730313168348642193e+03 9.096995715193199050e-01 1.456283674902693726e+00
3.731390716901421456e+03 -1.071274844480071264e+00 1.424529665486256258e+00
3.732467797481633625e+03 2.014672890599271127e-01 1.475033461267126311e+00
3.733547054518395271e+03 -1.616143992813729557e+00 1.508006774703881891e+00
3.734625044656421323e+03 6.395979674156124339e+00 1.865117986988162890e+00
3.735703237875100513e+03 1.577652016703581683e+00 1.656246948621047155e+00
3.736781288061783016e+03 6.957142315801189136e-01 1.584937159343169144e+00
3.737859391907877125e+03 5.096242214400639625e+00 1.744563362593291256e+00
3.738937483490975410e+03 5.789823759501254052e+00 1.841795991522324982e+00
3.740015730968340904e+03 5.462729107228924796e+00 1.830679741695403262e+00
3.741093875210279748e+03 2.279721204933110867e-01 1.626637783284455852e+00
3.742172128585410064e+03 7.511738774864212154e+00 1.877791810966513486e+00
3.743250460602736894e+03 2.404285546550680053e+00 1.630312449891182291e+00
3.744328725257901624e+03 2.453935439583168954e+00 1.583411325351834043e+00
3.745406964565806902e+03 -3.913081063316027119e+00 1.288477421215873164e+00
3.746485042260448608e+03 1.657728485363210824e+00 1.465576606857917463e+00
3.747562445259259675e+03 -3.141108281373200306e+00 1.218679511738632204e+00
