wavelength flux err
3.911000000000000000e+03 5.564191320070015490e-01 2.193490838357850872e-02
3.912000000000000000e+03 5.506612269470203547e-01 2.220209464632686563e-02
3.913000000000000000e+03 5.464209153695090970e-01 2.266659537419388540e-02
3.914000000000000000e+03 5.447518413679862670e-01 2.229852497243044879e-02
3.915000000000000000e+03 5.555002796394949982e-01 2.213231417356267827e-02
3.916000000000000000e+03 5.703444518353122383e-01 2.160531236569850078e-02
3.917000000000000000e+03 5.638662968200697234e-01 2.104293975459343297e-02
3.918000000000000000e+03 5.735436381501292091e-01 2.071500150980799815e-02
3.919000000000000000e+03 5.610853633857120215e-01 2.044241476013929429e-02
3.920000000000000000e+03 5.269540962683102459e-01 2.008401118484178308e-02
3.921000000000000000e+03 5.442199553719725413e-01 2.051948906670044565e-02
3.922000000000000000e+03 5.923651432064217515e-01 2.051724460723887422e-02
3.923000000000000000e+03 5.841780234030218288e-01 2.035512139471462589e-02
3.924000000000000000e+03 5.644370831104923436e-01 2.018107982091293939e-02
3.925000000000000000e+03 5.504279589329179601e-01 1.994897287953681375e-02
3.926000000000000000e+03 5.470662898366080995e-01 2.012576394339183131e-02
3.927000000000000000e+03 5.647627168615685367e-01 2.008452732101003238e-02
3.928000000000000000e+03 5.724349524498439923e-01 1.973102162933347906e-02
3.929000000000000000e+03 5.686718579849519006e-01 1.953089584052862884e-02
3.930000000000000000e+03 5.604651480111939588e-01 1.929601694275664622e-02
3.931000000000000000e+03 5.475574105379220624e-01 1.886750968573458476e-02
3.932000000000000000e+03 5.354935043700685959e-01 1.873568170162244820e-02
3.933000000000000000e+03 5.403128373587341438e-01 1.843461506253465942e-02
3.934000000000000000e+03 5.104195850521026090e-01 1.846461066887658195e-02
3.935000000000000000e+03 5.059149391649738758e-01 1.853601904834374994e-02
3.936000000000000000e+03 5.050990430476685056e-01 1.862656912363638492e-02
3.937000000000000000e+03 5.192353342631559343e-01 1.868188508699659620e-02
3.938000000000000000e+03 5.219452040415313299e-01 1.907137236335363847e-02
3.939000000000000000e+03 5.253403516639421067e-01 1.915679196190597441e-02
3.940000000000000000e+03 5.408921262284134279e-01 1.930826678622323683e-02
3.941000000000000000e+03 5.412235287078557278e-01 1.969249587686999758e-02
3.942000000000000000e+03 5.406366484532627581e-01 1.973684416079251810e-02
3.943000000000000000e+03 5.414940603400244523e-01 1.944127482770228663e-02
3.944000000000000000e+03 5.218240766658506224e-01 1.957448253140747427e-02
3.945000000000000000e+03 5.331678126373605719e-01 1.964176574359742175e-02
3.946000000000000000e+03 5.560551041555558127e-01 1.941345742900548246e-02
3.947000000000000000e+03 5.246084266796959827e-01 1.924958740541806226e-02
3.948000000000000000e+03 5.117408061698309751e-01 1.982480155261583110e-02
3.949000000000000000e+03 5.320001682984420999e-01 1.967360389949485144e-02
3.950000000000000000e+03 5.439628355719834385e-01 1.934343842439174843e-02
3.951000000000000000e+03 5.196607202267320424e-01 1.922223134023450311e-02
3.952000000000000000e+03 5.246224433942540122e-01 1.928459151533016072e-02
3.953000000000000000e+03 5.291346291393574930e-01 1.921315206722026131e-02
3.954000000000000000e+03 5.093941787597824344e-01 1.892582860789265506e-02
3.955000000000000000e+03 5.053866782587125295e-01 1.885647197806959025e-02
3.956000000000000000e+03 5.064721341213824779e-01 1.909015613005145620e-02
3.957000000000000000e+03 4.955568153200963222e-01 1.887677386651856817e-02
3.958000000000000000e+03 4.826247345640953257e-01 1.889250052270435160e-02
3.959000000000000000e+03 5.108456584234409847e-01 1.885441988087859649e-02
3.960000000000000000e+03 5.230148300676137341e-01 1.868233631044302276e-02
3.961000000000000000e+03 4.995957904392113180e-01 1.884826083557611734e-02
3.962000000000000000e+03 5.258814762709375090e-01 1.890817161517365994e-02
3.963000000000000000e+03 5.315192846798078019e-01 1.861917058192806562e-02
3.964000000000000000e+03 5.186317892749942038e-01 1.846573825774595196e-02
3.965000000000000000e+03 5.271740754193879885e-01 1.833568654902042322e-02
3.966000000000000000e+03 5.105122549745719773e-01 1.777916715451759513e-02
3.967000000000000000e+03 4.937193979382124009e-01 1.772117043292521094e-02
3.968000000000000000e+03 5.132626252376374376e-01 1.766065601988613815e-02
3.969000000000000000e+03 5.339937197855887385e-01 1.778343892571043056e-02
3.970000000000000000e+03 5.431391128503267884e-01 1.812070440467324073e-02
3.971000000000000000e+03 5.436845780619511403e-01 1.843645926263477730e-02
3.972000000000000000e+03 5.427488060348919507e-01 1.846484626561702494e-02
3.973000000000000000e+03 5.317745964616494847e-01 1.835551676551069877e-02
3.974000000000000000e+03 5.281450503954527864e-01 1.859719925388427300e-02
3.975000000000000000e+03 5.394944291773851042e-01 1.885594389334404805e-02
3.976000000000000000e+03 5.221508581128991855e-01 1.890214793519754549e-02
3.977000000000000000e+03 4.892764624316385258e-01 1.888954144420768033e-02
3.978000000000000000e+03 4.931226208449673298e-01 1.930690923052097441e-02
3.979000000000000000e+03 5.257259335922925825e-01 1.911117365395141252e-02
3.980000000000000000e+03 4.997607752404494286e-01 1.917644495277770478e-02
3.981000000000000000e+03 5.006494606151354887e-01 1.939636305368806421e-02
3.982000000000000000e+03 5.373678591018360429e-01 1.930649522605900129e-02
3.983000000000000000e+03 5.298570194337427486e-01 1.931405342057411836e-02
3.984000000000000000e+03 5.183770485626384428e-01 1.894358874764947784e-02
3.985000000000000000e+03 5.073835172537530802e-01 1.898271378482378757e-02
3.986000000000000000e+03 5.242312550090685308e-01 1.930449676787449054e-02
3.987000000000000000e+03 5.504770585897017510e-01 1.951018353525295346e-02
3.988000000000000000e+03 5.569023997908079116e-01 1.933864787429148691e-02
3.989000000000000000e+03 5.333429528442930057e-01 1.926733694554307041e-02
3.990000000000000000e+03 5.297961832455209130e-01 1.946196239344975126e-02
3.991000000000000000e+03 5.499644756772928966e-01 1.926247513497120201e-02
3.992000000000000000e+03 5.456218000389181366e-01 1.916514717032637843e-02
3.993000000000000000e+03 5.271066664111424549e-01 1.911900440703597631e-02
3.994000000000000000e+03 5.240561367221040490e-01 1.938959395407614458e-02
3.995000000000000000e+03 5.369349107277572308e-01 1.926755107676024828e-02
3.996000000000000000e+03 5.418958083830872630e-01 1.938600285531788189e-02
3.997000000000000000e+03 5.577463659794266171e-01 1.932362942093062211e-02
3.998000000000000000e+03 5.477193703648550738e-01 1.908550373886904947e-02
